SPMNKEY,AccNum,SPECID,forma,LatinName,Herb,Collectors,Coll. #,Day,Month,Yr,TEXTDATE,Habitat,Abundance,County,Prov_State,Country,Locality,NB,SOURCE,LOAN,UTMZ,UTME,UTMN,LATDEG,LATMIN,LATSEC,LATDIR,LONGDEG,LONGMIN,LONGSEC,LONGDIR,Projection,Prec.,Grid Ref.,GeoRefBy,Phenology,Collection id,DetAnnList,Notes,Creation Date,Modification Date,Comments,Databaser,Access#Form,Coll#Form,DateForm,Co.Form,utmform,Det BY,Nform,Wform,HabitatForm,LocalForm,NotesForm,CheckDuplicates,LatDec,LatForm,LongDec,LongForm,FormaForm,AbunForm,RareLoc,Rare Lat,Rare Long,Include,CheckFind,Labeled,Correct SpmNumb,SPMNKEYold,DETERMINER,Digital Lat,Digital Long,latinForm,count,specimen count,DigitalLatFORM,DigitalLongFORM
79350,46991,,,,UNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-23,2016-03-23,,Admin,   Accession # 46991,,00/00/00,,,,,,,,,Duplicate,,,,,,,,,,,,,,79350,,,,,56985,56985,,
43191,49652,68,,,UNB,"Hinds, H.R.",19796,2,8,1992,,Shaded cliffs,Uncommon,Restigouche,New Brunswick,Canada,About 3 km upstream from Downs Gulch Is.,,,,,,,,,,,,,,,,,,,Specimen is Reproductive,,,,2006-06-23,2015-07-08,,admin,   Accession # 49652,Collector's # 19796,,Restigouche Co.,,,,,Habitat:  Shaded cliffs. ,Locality:  About 3 km upstream from Downs Gulch Is.. ,,Duplicate,,,,,,Abund.:  Uncommon. ,About 3 km upstream from Downs Gulch Is.,,,,,,,,,,,,56985,56985,,
37266,5070,,,,UNB,Hagmeier,,7,8,1958,,,,York,New Brunswick,Canada,"UNB Campus, Fredericton",,,,,,,45.9459,,,N,66.6402,,,W,,3,21 G/15,UNB,,,,,2004-06-10,2015-07-08,To be identified,,   Accession # 5070,,,York Co.,,,N,W,,"Locality:  UNB Campus, Fredericton. ",,Duplicate,45.9459,45.9459º N ,66.6402,66.6402º W,,,"UNB Campus, Fredericton",45.9459,66.6402,,,,,,,,,,56985,56985,,
61154,51405,983,,,UNB,"Hinds, H.R.",11778,14,9,1995,,Dense thicket near old house,one colony,Sunbury,New Brunswick,Canada,"Maugerville, about 5 km S of Princess Margaret Bridge",,,,,,,45,52,18,N,66,26,43,W,,3,,,No reproductive structures seen on specimen,,,,2011-03-16,2015-07-08,,shortt,   Accession # 51405,Collector's # 11778,14/9/1995/,Sunbury Co.,,,N,W,Habitat:  Dense thicket near old house. ,"Locality:  Maugerville, about 5 km S of Princess Margaret Bridge. ",,Duplicate,45.8717,45.8717º N ,66.4453,66.4453º W,,Abund.:  one colony. ,"Maugerville, about 5 km S of Princess Margaret Bridge",45.8717,66.4453,,,,,61154,,,,,56985,56985,,
3572,54212,1748,,,UNB,"Mills, E",,23,9,1998,,Planted on a lawn beside the driveway.,,Queens,New Brunswick,Canada,242 Wuhr's Beach Road ,,,,,,,,,,,,,,,0,,,,,,,,1998-09-25,2016-01-06,,,   Accession # 54212,,,Queens Co.,,,,,Habitat:  Planted on a lawn beside the driveway.. ,Locality:  242 Wuhr's Beach Road . ,,Unique,,,,,,,242 Wuhr's Beach Road ,,,,,,,,,,,,56985,56985,,
5632,55916,,,Amelanchier,UNB,"Blaney, C.S.",1977,7,8,1999,,small outcrop at river shore,,Restigouche,New Brunswick,Canada,Kedgwick River Kedgwick River; 2.4 km SE of mouth of Clearwater Brook,,,,19,602817,5286726,47.72572,,,N,67.628914,,,W,,2,21 O/12,Collector,,,,,2001-03-12,2015-11-25,To be identified,,   Accession # 55916,Collector's # 1977,,Restigouche Co.,UTM 19 602817 5286726,,N,W,Habitat:  small outcrop at river shore. ,Locality:  Kedgwick River Kedgwick River; 2.4 km SE of mouth of Clearwater Brook. ,,Duplicate,47.7257,47.7257º N ,67.6289,67.6289º W,,,Kedgwick River Kedgwick River; 2.4 km SE of mouth of Clearwater Brook,47.7257,67.6289,,,,,,,,,Amelanchier,56985,56985,,
5353,55920,,,Hieracium,UNB,"Blaney, C.S.",2997,11,7,2000,,rocky mesic rivershore,abundant ,Sunbury,New Brunswick,Canada,"Little River, NB approximately 3.5 km N of Albrights Corner (intersection of Highways 10 and 670)",,,,19,715469,5104455,46.059709,,,N,66.214289,,,W,,1,21 J/01,Collector,,,,Abundance: abundant.  ,2001-03-12,2015-11-25,To be identified,,   Accession # 55920,Collector's # 2997,,Sunbury Co.,UTM 19 715469 5104455,,N,W,Habitat:  rocky mesic rivershore. ,"Locality:  Little River, NB approximately 3.5 km N of Albrights Corner (intersection of Highways 10 and 670). ",Notes:  Abundance: abundant.  .,Duplicate,46.0597,46.0597º N ,66.2143,66.2143º W,,Abund.:  abundant . ,"Little River, NB approximately 3.5 km N of Albrights Corner (intersection of Highways 10 and 670)",46.0597,66.2143,,,,,,,,,Hieracium,56985,56985,,
55993,57254,,,Potentilla,UNB,"Blaney, C.S.",2146,,,1999,1999 08 22,dry railway cinders along tracks,,Gloucester,New Brunswick,Canada,Petit-Rocher - Southeast Fen,,,,20,295703,5295226,47.77798,,,N,-65.727149,,,W,,3,21 P13,,Fruit,,,along railway at W edge of Petit-Rocher town limits,2010-10-18,2015-07-08,To be identified,shortt,   Accession # 57254,Collector's # 2146,00/00/1999/,Gloucester Co.,UTM 20 295703 5295226,,N,W,Habitat:  dry railway cinders along tracks. ,Locality:  Petit-Rocher - Southeast Fen. ,Notes:  along railway at W edge of Petit-Rocher town limits.,Duplicate,47.778,47.778º N ,65.7271,65.7271º W,,,Petit-Rocher - Southeast Fen,47.778,65.7271,,,,,55993,,,,Potentilla,56985,56985,,
41897,57341,,,Isoetes spp.,UNB,"Bishop, G.",269 GLM,25,8,2004,,"Margins of Grand Lake, in shallow water, with I. lacustris",,Queens,New Brunswick,Canada,"Grand Lake, Grand Lake Meadows",,,,,,,45,50,33.4,N,66,9,14.4,W,,,,Collector,,,,,2006-03-24,2015-07-08,To be identified,,   Accession # 57341,Collector's # 269 GLM,,Queens Co.,,Det.   G. Bishop,N,W,"Habitat:  Margins of Grand Lake, in shallow water, with I. lacustris. ","Locality:  Grand Lake, Grand Lake Meadows. ",,Duplicate,45.8426,45.8426º N ,66.154,66.154º W,,,"Grand Lake, Grand Lake Meadows",45.8426,66.154,,,,,,G. Bishop,,,Isoetes spp.,56985,56985,,
41800,57362,,,Amelanchier sp.,UNB,"Bishop, G.; Dietz, S.; Papoulias, M.; Arnold, M.",160 GLM,16,8,2004,,Silver maple floodplain ,Uncommon,Queens,New Brunswick,Canada,"St. John River edge, near Jemseg, Grand Lake Meadows",,,,,,,45,49,22.9,N,66,8,21.3,W,,,,Collector,Specimen has neither Fruit nor Flowers,,,,2006-03-24,2015-07-08,To be identified,,   Accession # 57362,Collector's # 160 GLM,,Queens Co.,,"Det.   M. Papoulias, G. Bishop",N,W,Habitat:  Silver maple floodplain . ,"Locality:  St. John River edge, near Jemseg, Grand Lake Meadows. ",,Duplicate,45.823,45.823º N ,66.1393,66.1393º W,,Abund.:  Uncommon. ,"St. John River edge, near Jemseg, Grand Lake Meadows",45.823,66.1393,,,,,,"M. Papoulias, G. Bishop",,,Amelanchier sp.,56985,56985,,
56026,58151,,,Aster,UNB,"Blaney, C.S.",3570,,,2000,2000 09 05,sand & gravel bar at upstream end of island; extremely flood-scoured at high water,,Carleton,New Brunswick,Canada,Peel to Hartland,,,,19,610707,5135162,46.360976,,,N,-67.56088,,,W,,2,21 J05,,,,,N end of Lower Presqu'ile Island,2010-10-18,2015-07-08,To be identified,shortt,   Accession # 58151,Collector's # 3570,00/00/2000/,Carleton Co.,UTM 19 610707 5135162,,N,W,Habitat:  sand & gravel bar at upstream end of island; extremely flood-scoured at high water. ,Locality:  Peel to Hartland. ,Notes:  N end of Lower Presqu'ile Island.,Duplicate,46.361,46.361º N ,67.5609,67.5609º W,,,Peel to Hartland,46.361,67.5609,,,,,56026,,,,Aster,56985,56985,,
41823,58514,,,Isoetes sp.,UNB,"Bishop, G.; Dietz, S.; Papoulias, M.; Arnold, M.",183 GLM,17,8,2004,,In water,Rare,Queens,New Brunswick,Canada,"Jemseg River, Grand Lake Meadows",,,,,,,45,50,21.8,N,66,7,58.1,W,,,,Collector,,,,,2006-03-24,2015-07-08,To be identified,,   Accession # 58514,Collector's # 183 GLM,,Queens Co.,,Det.   M. Papoulias,N,W,Habitat:  In water. ,"Locality:  Jemseg River, Grand Lake Meadows. ",,Duplicate,45.8394,45.8394º N ,66.1328,66.1328º W,,Abund.:  Rare. ,"Jemseg River, Grand Lake Meadows",45.8394,66.1328,,,,,,M. Papoulias,,,Isoetes sp.,56985,56985,,
53258,58601,,,Elatine spp.,UNB,"Bishop, G.; Chaplin, M.; Papoulias, M.",13 MC,4,8,2005,,Heavily grazed muddy riverbank,Rare,Queens,New Brunswick,Canada,Thatch Island,,,,,,,45,49,30.9,N,66,8,45.6,W,,,,Collector,,,,,2007-11-08,2015-07-08,To be identified,admin,   Accession # 58601,Collector's # 13 MC,4/8/2005/,Queens Co.,,,N,W,Habitat:  Heavily grazed muddy riverbank. ,Locality:  Thatch Island. ,,Duplicate,45.8253,45.8253º N ,66.146,66.146º W,,Abund.:  Rare. ,Thatch Island,45.8253,66.146,,,,,,,,,Elatine spp.,56985,56985,,
56150,58754,1102,,Chamaesyce vermiculata,UNB,"Blaney, C.S.; Hart, R.",4768,,,2002,2002 09 28,gravelly road,locally common,York,New Brunswick,Canada,MacLeod Hill,,,,19,679329,5098654,46.017975,,,N,-66.683289,,,W,,2,21 J02,,Fruit,,,end of new subdivision road on top of Bluff Hill,2010-10-18,2015-07-08,Coll: UNB. Col# 4768. Dupl: 1. Evid.: specimen.,shortt,   Accession # 58754,Collector's # 4768,00/00/2002/,York Co.,UTM 19 679329 5098654,,N,W,Habitat:  gravelly road. ,Locality:  MacLeod Hill. ,Notes:  end of new subdivision road on top of Bluff Hill.,Duplicate,46.018,46.018º N ,66.6833,66.6833º W,,Abund.:  locally common. ,MacLeod Hill,46.018,66.6833,,,,,56150,,,,,56985,56985,,
56172,59017,406,,Carex recta,UNB; NBM; DAO,"Blaney, C.S.; Popma, T.M.",03-121,,,2003,2003 08 25,peatland with Typha,common,Albert,New Brunswick,Canada,Germantown NWA,,,,20,362363,5062843,45.70546,,,N,-64.768166,,,W,,1,21 H10,,Reproductive,,,"N of Shepody R, 1.0km upstream from bridge at N end of NWA",2010-10-18,2015-07-08,Coll: UNB; NBM; DAO. Col# 03-121. Dupl: 3. Evid.: specimen.,shortt,   Accession # 59017,Collector's # 03-121,00/00/2003/,Albert Co.,UTM 20 362363 5062843,"Det.   Blaney, C.S.",N,W,Habitat:  peatland with Typha. ,Locality:  Germantown NWA. ,"Notes:  N of Shepody R, 1.0km upstream from bridge at N end of NWA.",Duplicate,45.7055,45.7055º N ,64.7682,64.7682º W,,Abund.:  common. ,Germantown NWA,45.7055,64.7682,,,,,56172,"Blaney, C.S.",,,,56985,56985,,
57217,59251,835,,Caulophyllum thalictroides,UNB,Mazerolle D.M.; Oberndorfer E.C.,DM2045,18,7,2007,2007 07 18,rich deciduous floodplain forest,,York,New Brunswick,Canada,Taxis River,,,,19,680143,5143567,46.421639,,,N,-66.655645,,,W,,1,21 J07,,Seed development,,,"S shore, ~1.7km ESE of Jewett Bk",2010-10-18,2015-07-08,Coll: UNB. Col# DM2045. Dupl: 1. Evid.: specimen.,shortt,   Accession # 59251,Collector's # DM2045,18/7/2007/,York Co.,UTM 19 680143 5143567,"Det.   Mazerolle, D.M.",N,W,Habitat:  rich deciduous floodplain forest. ,Locality:  Taxis River. ,"Notes:  S shore, ~1.7km ESE of Jewett Bk.",Duplicate,46.4216,46.4216º N ,66.6556,66.6556º W,,,Taxis River,46.4216,66.6556,,,,,57217,"Mazerolle, D.M.",,,,56985,56985,,
57301,59304,245,,Muhlenbergia mexicana,"UNB, NBM","Blaney, C.S.; Whittam, D.",6647,,,2007,2007 08 14,eroding sandy-gravel shore slope & meadow,rare,Northumberland,New Brunswick,Canada,Upper Blackville Bridge,,,,20,280651,5167994,46.629606,,,N,-65.865519,,,W,,1,21 I12,,Flowering,,,"E side SW Miramichi R, between Upper Blackville Bridge & Arbeau Settlement",2010-10-18,2015-07-08,"Coll: UNB, NBM. Col# 6647. Dupl: 2. Evid.: specimen.",shortt,   Accession # 59304,Collector's # 6647,00/00/2007/,Northumberland Co.,UTM 20 280651 5167994,"Det.   Blaney, C.S.",N,W,Habitat:  eroding sandy-gravel shore slope & meadow. ,Locality:  Upper Blackville Bridge. ,"Notes:  E side SW Miramichi R, between Upper Blackville Bridge & Arbeau Settlement.",Duplicate,46.6296,46.6296º N ,65.8655,65.8655º W,,Abund.:  rare. ,Upper Blackville Bridge,46.6296,65.8655,,,,,57301,"Blaney, C.S.",,,,56985,56985,,
56282,59620,835,,Caulophyllum thalictroides,UNB,"Blaney, C.S.; Spicer, C.D.",5007,,,2004,2004 07 14,"rich, densely shrubby, floodplain forest; young & with history of disturbance - likely cleared for agriculture historically",rare,Northumberland,New Brunswick,Canada,Renous River,,,,20,273192,5189876,46.82378,,,N,-65.973633,,,W,,2,21 I13,,Fruit,,,"S side, 2.5km E of Munsons Landing",2010-10-18,2015-07-08,Coll: UNB. Col# 5007. Dupl: 1. Evid.: specimen.,shortt,   Accession # 59620,Collector's # 5007,00/00/2004/,Northumberland Co.,UTM 20 273192 5189876,"Det.   Blaney, C.S.",N,W,"Habitat:  rich, densely shrubby, floodplain forest; young & with history of disturbance - likely cleared for agriculture historically. ",Locality:  Renous River. ,"Notes:  S side, 2.5km E of Munsons Landing.",Duplicate,46.8238,46.8238º N ,65.9736,65.9736º W,,Abund.:  rare. ,Renous River,46.8238,65.9736,,,,,56282,"Blaney, C.S.",,,,56985,56985,,
56320,59637,1476,,Galium trifidum ssp. trifidum,UNB; DAO,"Blaney, C.S.",5096,,,2004,2004 08 03,dried out Typha latifolia - Schoenoplectus acutus marsh,common,Northumberland,New Brunswick,Canada,Portage Island,,,,20,345237,5225857,47.167999,,,N,-65.042114,,,W,,3,21 P03,,Reproductive,,,E side; first marsh S of N tip (~2.5km S of tip),2010-10-18,2015-07-08,Coll: UNB; DAO. Col# 5096. Dupl: 2. Evid.: specimen.,shortt,   Accession # 59637,Collector's # 5096,00/00/2004/,Northumberland Co.,UTM 20 345237 5225857,,N,W,Habitat:  dried out Typha latifolia - Schoenoplectus acutus marsh. ,Locality:  Portage Island. ,Notes:  E side; first marsh S of N tip (~2.5km S of tip).,Duplicate,47.168,47.168º N ,65.0421,65.0421º W,,Abund.:  common. ,Portage Island,47.168,65.0421,,,,,56320,,,,,56985,56985,,
56480,59886,128,,Potamogeton obtusifolius,UNB; NBM; DAO,"Blaney, C.S.",5221,,,2004,2004 09 12,shallow stream with mucky bottom,locally common,Westmorland,New Brunswick,Canada,Robinson Brook,,,,20,403555,5093102,45.984703,,,N,-64.245201,,,W,,1,21 H16,,Reproductive,,,1.0km upstream on Robinson Bk from Big Jolicure Lk,2010-10-18,2015-07-08,Coll: UNB; NBM; DAO. Col# 5221. Dupl: 3. Evid.: specimen.,shortt,   Accession # 59886,Collector's # 5221,00/00/2004/,Westmorland Co.,UTM 20 403555 5093102,"Det.   Blaney, C.S.",N,W,Habitat:  shallow stream with mucky bottom. ,Locality:  Robinson Brook. ,Notes:  1.0km upstream on Robinson Bk from Big Jolicure Lk.,Duplicate,45.9847,45.9847º N ,64.2452,64.2452º W,,Abund.:  locally common. ,Robinson Brook,45.9847,64.2452,,,,,56480,"Blaney, C.S.",,,,56985,56985,,
56777,60047,419,,Carex radiata,UNB; NBM,"Blaney, C.S.",6076,,,2006,2006 06 25,"rich, mature, sugar maple - yellow birch - balsam fir floodplain terrace",fairly common,Kent,New Brunswick,Canada,McLean Settlement,,,,20,351195,5136168,46.362724,,,N,-64.934433,,,W,,1,21 I07,,,,,"inside large bend on N side of N Branch Buctouche R, E of Hwy 490, 1.3km S of McLean Settlement",2010-10-18,2015-07-08,Coll: UNB; NBM. Col# 6076. Dupl: 2. Evid.: specimen.,shortt,   Accession # 60047,Collector's # 6076,00/00/2006/,Kent Co.,UTM 20 351195 5136168,"Det.   Blaney, C.S.",N,W,"Habitat:  rich, mature, sugar maple - yellow birch - balsam fir floodplain terrace. ",Locality:  McLean Settlement. ,"Notes:  inside large bend on N side of N Branch Buctouche R, E of Hwy 490, 1.3km S of McLean Settlement.",Duplicate,46.3627,46.3627º N ,64.9344,64.9344º W,,Abund.:  fairly common. ,McLean Settlement,46.3627,64.9344,,,,,56777,"Blaney, C.S.",,,,56985,56985,,
56184,60574,128,,Potamogeton obtusifolius,UNB; NBM; DAO,"Blaney, C.S.; Popma, T.M.",03-134,,,2003,2003 08 27,1m deep water in channel through marsh,uncommon,Albert,New Brunswick,Canada,Germantown NWA,,,,20,361712,5062618,45.7033,,,N,-64.77646,,,W,,3,21 H10,,Fruiting,,,"Beaver Bk Marsh, ~0.9km SE of Beaver Brook bridge on Hwy 114",2010-10-18,2015-07-08,Coll: UNB; NBM; DAO. Col# 03-134. Dupl: 3. Evid.: specimen.,shortt,   Accession # 60574,Collector's # 03-134,00/00/2003/,Albert Co.,UTM 20 361712 5062618,"Det.   Blaney, C.S.",N,W,Habitat:  1m deep water in channel through marsh. ,Locality:  Germantown NWA. ,"Notes:  Beaver Bk Marsh, ~0.9km SE of Beaver Brook bridge on Hwy 114.",Duplicate,45.7033,45.7033º N ,64.7765,64.7765º W,,Abund.:  uncommon. ,Germantown NWA,45.7033,64.7765,,,,,56184,"Blaney, C.S.",,,,56985,56985,,
56794,60844,128,,Potamogeton obtusifolius,UNB; NBM,"Blaney, C.S.; Mazerolle, D.M.; Klymko, J.",6095,,,2006,2006 06 27,"shallow water, peaty bottom",locally abundant,York,New Brunswick,Canada,Mud Lake,,,,19,175448,5082928,45.823467,,,N,-67.178268,,,W,,1,21 G14,,non-reproductive,,,"E shore, ~0.3km NE of mouth of Mud Bk",2010-10-18,2015-07-08,Coll: UNB; NBM. Col# 6095. Dupl: 2. Evid.: specimen.,shortt,   Accession # 60844,Collector's # 6095,00/00/2006/,York Co.,UTM 19 175448 5082928,"Det.   Blaney, C.S.",N,W,"Habitat:  shallow water, peaty bottom. ",Locality:  Mud Lake. ,"Notes:  E shore, ~0.3km NE of mouth of Mud Bk.",Duplicate,45.8235,45.8235º N ,67.1783,67.1783º W,,Abund.:  locally abundant. ,Mud Lake,45.8235,67.1783,,,,,56794,"Blaney, C.S.",,,,56985,56985,,
56815,60889,128,,Potamogeton obtusifolius,"UNB, NBM","Mazerolle, D.M.; Klymko, J.",06-008,,,2006,2006 07 03,in moderately deep water on sandy/muddy bottom,fairly common,Kings,New Brunswick,Canada,Mathers Lake,,,,19,241429,5030356,45.378956,,,N,-66.302589,,,W,,1,21 G08,,,,,"~2 km SW of Nerepis, shoreline of lk & adjacent wetlands",2010-10-18,2015-07-08,"Coll: UNB, NBM. Col# 06-008. Dupl: 2. Evid.: specimen.",shortt,   Accession # 60889,Collector's # 06-008,00/00/2006/,Kings Co.,UTM 19 241429 5030356,"Det.   Mazerolle, D.M.",N,W,Habitat:  in moderately deep water on sandy/muddy bottom. ,Locality:  Mathers Lake. ,"Notes:  ~2 km SW of Nerepis, shoreline of lk & adjacent wetlands.",Duplicate,45.379,45.379º N ,66.3026,66.3026º W,,Abund.:  fairly common. ,Mathers Lake,45.379,66.3026,,,,,56815,"Mazerolle, D.M.",,,,56985,56985,,
56640,60894,128,,Potamogeton obtusifolius,"UNB,NBM","Blaney, C.S.; Spicer, C.D.; Mazerolle, D.M.",5576,,,2005,2005 08 11,slightly brackish tidal river,uncommon,Gloucester,New Brunswick,Canada,Pokemouche River,,,,20,348643,5279872,47.654533,,,N,-65.015655,,,W,,1,21 P11,,,,,1.9km downstream from mouth of Dempsey Bk,2010-10-18,2015-07-08,"Coll: UNB,NBM. Col# 5576. Dupl: 2. Evid.: specimen.",shortt,   Accession # 60894,Collector's # 5576,00/00/2005/,Gloucester Co.,UTM 20 348643 5279872,"Det.   Blaney, C.S.",N,W,Habitat:  slightly brackish tidal river. ,Locality:  Pokemouche River. ,Notes:  1.9km downstream from mouth of Dempsey Bk.,Duplicate,47.6545,47.6545º N ,65.0157,65.0157º W,,Abund.:  uncommon. ,Pokemouche River,47.6545,65.0157,,,,,56640,"Blaney, C.S.",,,,56985,56985,,
79240,61135,,,,UNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-02,2016-03-02,,Admin,   Accession # 61135,,00/00/00,,,,,,,,,Duplicate,,,,,,,,,,,,,,79240,,,,,56985,56985,,
64503,62979,,,,UNB,"MacLean, D.A.; Wein, R.W; McKay, W.H.",170,,,1973,,,,Gloucester,New Brunswick,Canada,"Site 80 (=site 7) Allardville, Fire Study",,,,,,,47.37,,,N,65.25,,,W,,2,,Collector,No reproductive structures seen on specimen,2,,Amelanchier sp.,2011-07-01,2015-07-08,To be identified,shortt,   Accession # 62979,Collector's # 170,00/00/1973/,Gloucester Co.,,,N,W,,"Locality:  Site 80 (=site 7) Allardville, Fire Study. ",Notes:  Amelanchier sp..,Duplicate,47.37,47.37º N ,65.25,65.25º W,,,"Site 80 (=site 7) Allardville, Fire Study",47.37,65.25,,,,,64503,,,,,56985,56985,,
